folioviv,tipo_viv,mat_pared,mat_techos,mat_pisos,cocina,cocina_dor,cuart_dorm,num_cuarto,lugar_coc,ab_agua,dotac_agua,excusado,uso_compar,sanit_agua,bano_comp,bano_excus,bano_regad,drenaje,disp_elect,combus,eli_basura,tenencia,estim_pago,escrituras,tot_resid,tot_hom,tot_muj,est_socio,ing_tri,ing_tri_pc
1906174801,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,1,0,1,1,3,1,4,4000,1,4,3,1,3,109917.96,27479.49
1906174802,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,1,0,1,1,3,1,4,1800,1,1,1,0,3,40032.76,40032.76
1906174804,1,8,10,3,1,1,2,3,1,1,1,1,2,1,3,0,0,1,1,3,1,1, ,,2,1,1,3,105663.89,52831.945
1906174806,1,8,10,2,1,2,2,3,1,1,1,1,2,1,1,1,0,1,1,3,1,4,5000,1,3,2,1,3,85573.73,28524.57667
1906175001,1,8,10,3,1,2,1,4,1,1,1,1,2,1,1,0,0,1,1,4,1,4,6000,2,2,1,1,3,90758.13,45379.065
1906175003,1,8,10,3,1,2,1,4,1,1,1,1,2,1,1,0,0,1,1,4,1,4,4000,1,1,1,0,3,26413.03,26413.03
1906175004,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,1, ,,5,2,3,3,56788.02,11357.604
1906175006,1,8,10,3,1,2,3,4,1,1,1,1,2,1,3,0,0,1,1,3,1,4,3000,1,1,1,0,3,88043.47,88043.47
1906176201,1,8,10,3,1,1,3,5,1,1,1,1,2,1,2,0,0,1,1,4,2,4,8000,1,4,2,2,4,262829.63,65707.4075
1906176203,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,0,0,1,1,4,2,4,10000,1,2,1,1,4,51141.74,25570.87
1906176204,1,8,10,3,1,2,2,4,1,1,1,1,2,1,2,0,0,1,1,4,2,1, ,,2,1,1,4,68983.5,34491.75
1906176205,1,8,10,3,1,2,3,4,1,1,1,1,2,1,2,0,0,1,1,4,1,4,7000,1,4,1,3,4,498461.51,124615.3775
1906176206,1,8,10,3,1,2,1,4,1,1,1,1,2,1,2,0,0,1,1,3,1,1, ,,3,1,2,4,73582.4,24527.46667
1906177402,1,8,10,3,1,2,1,5,1,1,1,1,2,1,2,1,0,1,1,4,1,3,13000,1,3,2,1,4,327717.38,109239.1267
1906177403,1,8,10,3,1,1,1,5,1,1,1,1,2,1,1,1,0,1,1,4,1,3,3000,1,2,1,1,4,62364.12,31182.06
1906177405,1,8,10,3,1,2,3,8,1,1,1,1,2,1,3,1,0,1,1,4,1,1, ,,4,3,1,4,266742.36,66685.59
1906177406,1,8,10,3,1,2,3,4,1,1,1,1,2,1,3,1,0,1,1,5,1,3,18000,1,4,2,2,4,298369.5,74592.375
1906178601,1,8,10,3,1,2,3,4,1,1,1,1,2,1,2,1,0,1,1,4,1,4,7000,1,3,1,2,4,116704.88,38901.62667
1906178602,1,8,10,3,1,2,3,4,1,1,1,1,2,1,2,1,0,1,1,4,1,3,10000,3,5,2,3,4,61180.31,12236.062
1906178603,1,8,10,3,1,2,3,4,1,1,1,1,2,1,2,1,0,1,1,4,1,4,7500,1,5,2,3,4,42501.62,8500.324
1906178605,1,8,10,3,1,2,3,4,1,1,1,1,2,1,2,1,0,1,1,4,1,1, ,,5,2,3,4,382303.19,76460.638
1906178606,1,8,10,2,1,2,3,4,1,1,1,1,2,1,2,1,0,1,1,4,1,3,10000,3,4,3,1,4,123934.4,30983.6
1906179301,1,8,10,2,1,2,1,4,1,1,1,1,2,1,1,0,0,1,1,3,1,3,5000,1,3,2,1,3,91785.3,30595.1
1906179302,1,8,10,2,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,3,5000,3,1,1,0,3,33749.98,33749.98
1906179303,1,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,3,3500,1,2,0,2,3,47836.95,23918.475
1906179304,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,4,4000,3,4,2,2,3,126733.65,31683.4125
1906179305,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,3,4000,3,3,2,1,3,64442.89,21480.96333
1906179306,1,8,10,2,1,2,3,4,1,1,1,1,2,1,1,0,0,1,1,4,1,4,3000,3,4,3,1,3,116584.21,29146.0525
1906180802,1,8,10,3,1,2,2,6,1,1,1,1,2,1,2,1,0,1,1,4,1,4,12000,1,3,1,2,4,365655.71,121885.2367
1906180804,1,8,10,3,1,2,3,7,1,1,1,1,2,1,2,1,0,1,1,4,1,4,10000,1,4,2,2,4,265573.76,66393.44
1906180806,1,8,10,3,1,2,3,6,1,1,1,1,2,1,2,1,0,1,1,4,1,1, ,,2,1,1,4,143606.53,71803.265
1906181501,1,8,10,2,1,2,2,5,1,1,1,1,2,1,1,0,0,1,1,5,1,2,4000,,2,1,1,3,71902.16,35951.08
1906181502,1,8,10,2,1,2,2,5,1,1,1,1,2,1,2,0,0,1,1,4,1,4,3000,1,3,1,2,3,91711.95,30570.65
1906181503,1,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,4,3500,3,3,2,1,3,109579.84,36526.61333
1906181505,1,8,10,2,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,4,4000,1,4,3,1,3,90782.58,22695.645
1906181506,1,8,10,3,1,2,1,4,1,1,1,1,2,1,1,0,0,1,1,4,1,2,2500,,1,0,1,3,31842.37,31842.37
1906182901,1,8,10,3,1,2,1,3,1,1,1,1,2,1,2,0,0,1,1,3,2,4,3000,1,2,1,1,2,24065.2,12032.6
1906182902,1,8,10,2,1,2,1,4,1,1,1,1,2,1,1,0,0,1,1,5,1,2,1000,,3,2,1,2,68894,22964.66667
1906182903,1,8,10,2,1,2,3,5,1,1,1,1,2,1,1,0,0,1,1,4,1,4,3000,1,10,6,4,2,70214.64,7021.464
1906182904,1,8,10,2,1,2,3,5,1,1,1,1,1,1,1,0,0,1,1,3,1,4,1500,1,4,2,2,2,63831.49,15957.8725
1906182905,1,8,10,3,1,2,3,7,1,1,1,1,2,1,2,0,0,1,1,3,1,4,5000,1,6,4,2,2,97938.54,16323.09
1906182906,1,8,10,2,1,2,2,3,1,1,1,1,2,1,2,0,0,1,1,4,1,4,3000,1,3,2,1,2,46956.51,15652.17
1906183203,7,8,10,2,1,2,2,3,1,1,1,1,2,2,1,0,0,1,1,3,1,5,3000,,2,2,0,2,55473.62,27736.81
1906183204,5,8,10,2,1,1,1,2,1,1,1,1,1,1,1,0,0,1,1,5,1,1, ,,3,1,2,2,7417.58,2472.526667
1906183205,1,8,10,3,1,2,3,5,1,1,1,1,2,1,0,2,1,1,1,4,1,4,4000,1,3,2,1,2,77878.66,25959.55333
1906183206,7,8,10,3,1,2,3,6,1,1,1,1,2,2,1,0,0,1,1,4,1,4,5500,1,6,3,3,2,234645.28,39107.54667
1906184901,1,8,10,3,1,2,1,5,1,1,1,1,2,1,3,0,0,1,1,4,1,3,9000,1,2,1,1,4,122776.62,61388.31
1906184903,1,8,10,3,1,2,2,6,1,1,1,1,2,1,3,0,0,1,1,4,1,1, ,,4,2,2,4,158160.28,39540.07
1906184904,1,8,10,3,1,2,1,6,1,1,1,1,2,1,2,1,0,1,1,4,1,1, ,,2,1,1,4,154442.91,77221.455
1906184906,1,8,10,3,1,2,3,7,1,1,1,1,2,1,2,1,0,1,1,4,1,3,10000,1,4,2,2,4,334760.83,83690.2075
1906185701,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,4,2000,4,4,1,3,3,69098.34,17274.585
1906185702,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,1,0,1,1,4,1,3,2500,3,6,2,4,3,99491.76,16581.96
1906185703,1,8,10,3,1,2,3,5,1,1,1,1,2,1,1,0,0,1,1,3,1,3,4000,1,9,5,4,3,77581.93,8620.214444
1906185704,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,3,2000,3,1,1,0,3,44754.09,44754.09
1906185705,1,8,10,3,1,2,3,5,1,1,1,1,2,1,1,0,0,1,1,3,1,4,3500,2,3,1,2,3,63442.6,21147.53333
1906185706,1,8,10,3,1,2,1,4,1,1,1,1,2,1,1,0,0,1,1,4,1,1, ,,1,0,1,3,30295.07,30295.07
1906186901,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,1,4,2000,1,3,1,2,3,73357.31,24452.43667
1906186903,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,4,3000,1,6,3,3,3,66032.59,11005.43167
1906186904,1,8,10,3,1,2,2,5,1,1,1,1,2,1,1,1,0,1,1,4,1,4,4000,3,5,1,4,3,74347.81,14869.562
1906186905,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,4,1,1, ,,5,3,2,3,68997.94,13799.588
1906186906,1,8,10,3,1,2,2,5,1,1,1,1,1,1,1,0,0,1,1,4,1,3,5000,1,3,0,3,3,122649.43,40883.14333
1906187001,1,8,10,3,1,2,2,5,1,1,1,1,2,1,2,0,0,1,1,3,1,3,9000,3,3,1,2,4,67108.66,22369.55333
1906187002,1,8,10,3,1,2,3,5,1,1,1,1,2,1,2,0,0,1,1,4,1,3,10000,1,4,2,2,4,55271.72,13817.93
1906187003,1,8,10,3,1,2,2,5,1,1,1,1,2,1,1,1,0,1,1,3,1,3,6000,3,4,2,2,4,61385.84,15346.46
1906187006,1,8,10,3,1,2,3,6,1,1,1,1,2,1,2,0,0,1,1,4,1,3,10000,1,4,1,3,4,174130.42,43532.605
1906188201,7,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,4,1,3,3,51923.06,12980.765
1906188202,1,8,10,3,1,2,2,3,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,5,4,1,3,101937.3,20387.46
1906188203,1,8,10,3,1,2,4,6,1,1,1,1,2,1,2,0,0,1,1,4,1,4,4500,1,5,3,2,3,189593.34,37918.668
1906188204,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,3,2,1,3,53188.98,17729.66
1906188205,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,3,2500,1,4,2,2,3,84065.89,21016.4725
1906188206,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,2,0,1,1,4,1,3,4000,1,4,1,3,3,45098.89,11274.7225
1906189401,1,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,2,4,2500,1,6,3,3,2,161559.73,26926.62167
1906189403,7,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,2,3,3000,1,9,5,4,2,115728.22,12858.69111
1906189404,1,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,4,2,1, ,,1,1,0,2,86135.83,86135.83
1906189405,1,8,10,3,1,2,2,4,1,1,1,1,2,1,2,0,0,1,1,4,1,1, ,,2,0,2,2,138551.08,69275.54
1906189406,1,8,10,3,1,2,3,5,1,1,1,1,2,1,1,0,0,1,1,4,2,4,2000,2,5,3,2,2,135606.47,27121.294
1906190401,1,8,3,2,1,2,2,4,1,1,1,1,2,1,0,1,1,1,1,3,1,4,2500,1,4,2,2,3,91345.07,22836.2675
1906190402,1,8,10,3,1,2,3,5,1,1,1,1,2,1,1,1,0,1,1,4,1,3,3000,1,4,2,2,3,98266.26,24566.565
1906190403,1,8,10,3,1,2,1,4,1,1,1,1,2,1,1,0,0,1,1,3,1,1, ,,4,3,1,3,107305.38,26826.345
1906190404,1,8,10,2,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,5,1,4,1300,4,2,1,1,3,4989.12,2494.56
1906190405,1,8,10,2,1,2,1,5,1,1,1,1,2,1,1,1,0,1,1,3,1,3,3000,1,2,1,1,3,67426.61,33713.305
1906191601,1,8,10,3,1,2,2,4,1,1,1,1,2,1,1,0,0,1,1,3,1,4,2000,3,3,1,2,3,114420.47,38140.15667
